=== BECKHOFF SPS VARIABLEN ===

Name: .E_SAFETY_SCANNER_TIM_H_OUT_1_FELD1_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_H_OUT_4_BEREIT                         | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_L_OUT_1_FELD1_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_L_OUT_2_FELD2_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_L_OUT_3_FELD3_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_L_OUT_4_FELD4_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_R_OUT_1_FELD1_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_R_OUT_2_FELD2_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_R_OUT_3_FELD3_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_TIM_R_OUT_4_FELD4_SICHER                   | Typ: BOOL
Name: .E_SAFETY_SCANNER_WARNUNG                                    | Typ: BOOL
Name: .E_STCOUNTERPM1                                              | Typ: ST_COUNTER_INPUT
Name: .E_STCOUNTERPM2                                              | Typ: ST_COUNTER_INPUT
Name: .E_TASTER_SYSTEM_AUS                                         | Typ: BOOL
Name: .E_TASTER_SYSTEM_BREMSE_LOESEN                               | Typ: BOOL
Name: .E_TASTER_SYSTEM_EIN                                         | Typ: BOOL
Name: .E_TASTER_SYSTEM_MANUELLE_LADEN                              | Typ: BOOL
Name: .FORMAT_DECASC_CODES                                         | Typ: ARRAY [0..9] OF BYTE
Name: .FORMAT_DEFAULT_PRECISION                                    | Typ: ARRAY [0..11] OF INT
Name: .FORMAT_HASH_PREFIX_STRING                                   | Typ: ARRAY [0..1, 0..11] OF STRING(10)
Name: .FORMAT_HEXASC_CODES                                         | Typ: ARRAY [0..1, 0..15] OF BYTE
Name: .FORMAT_PREFIX_SUPPORT_MASK                                  | Typ: ARRAY [0..3, 0..11] OF BOOL
Name: .FORMAT_TYPE_SUPPORT_MASK                                    | Typ: ARRAY [0..11, 0..18] OF BOOL
Name: .FTS_KILOMETERSTAND                                          | Typ: LREAL
Name: .GLOBAL_CRC_CCITT_TABLE                                      | Typ: ARRAY [0..255] OF WORD
Name: .GLOBAL_DBGOUTPUTCTRL                                        | Typ: FB_DBGOUTPUTCTRL
Name: .GLOBAL_DBGOUTPUTVISU                                        | Typ: ARRAY [1..30] OF STRING(255)
Name: .GLOBAL_DCF77_PULSE_SPLIT                                    | Typ: TIME
Name: .GLOBAL_DCF77_SEQUENCE_CHECK                                 | Typ: BOOL
Name: .GLOBAL_FORMAT_HASH_PREFIX_TYPE                              | Typ: E_HASHPREFIXTYPES
Name: .GLOBAL_SBCS_TABLE                                           | Typ: E_SBCSTYPE
Name: .GP_AXIS_DIGITAL_EINGAENGE                                   | Typ: ARRAY [0..5] OF WORD
Name: .GP_AXIS_REF                                                 | Typ: ARRAY [0..5] OF _FBAXIS_REF
Name: .GSV_CONVEYOR                                                | Typ: ARRAY [0..3] OF ST_CONVEYOR
Name: .GSV_SERVOS                                                  | Typ: ARRAY [0..5] OF ST_SERVOS
Name: .GSV_TASTER                                                  | Typ: ARRAY [0..5] OF ST_TASTER
Name: .GSV_TIME_DATE                                               | Typ: ST_TIME_DATE
Name: .G_CALLGENERIC_STATE                                         | Typ: BYTE
Name: .G_FWVERSION                                                 | Typ: ARRAY [0..3] OF UINT
Name: .G_FWVERSION_INIT                                            | Typ: BOOL
Name: .HISTOGRAM_VALUE1                                            | Typ: ARRAY [0..300] OF INT
Name: .HISTOGRAM_VALUE2                                            | Typ: ARRAY [0..300] OF INT
Name: .IARRDRIVESUPDATEPORTS                                       | Typ: ARRAY [0..255] OF UINT
Name: .IBLOCKECATSCANCOUNT                                         | Typ: DINT
Name: .IMQN_TABLE                                                  | Typ: ARRAY [0..31] OF LREAL
Name: .INDEX7001                                                   | Typ: DINT
Name: .INDEX7002                                                   | Typ: DINT
Name: .INDEX7003                                                   | Typ: DINT
Name: .INDEX7004                                                   | Typ: DINT
Name: .INDEX7005                                                   | Typ: DINT
Name: .INDEX7006                                                   | Typ: DINT
Name: .INDEX7007                                                   | Typ: DINT
Name: .INDEX7008                                                   | Typ: DINT
Name: .INDEX7009                                                   | Typ: DINT
Name: .I_BEREICH_1_FREIGABE_ANTRIEBE                               | Typ: BOOL
Name: .I_BEREICH_1_HW_SICHER                                       | Typ: BOOL
Name: .I_COM_ERR                                                   | Typ: BOOL
Name: .I_FB_ERR                                                    | Typ: BOOL
Name: .I_GROUP1_STATE                                              | Typ: USINT
Name: .I_KEIN_NOTAUS                                               | Typ: BOOL
