Name: .E_SAFETY_SCANNER_TIM_R_OUT_4_FELD4_SICHER | Group: 61473 | Offset: 103
Name: .E_SAFETY_SCANNER_WARNUNG | Group: 61473 | Offset: 5
Name: .E_STCOUNTERPM1 | Group: 61472 | Offset: 16
Name: .E_STCOUNTERPM2 | Group: 61472 | Offset: 32
Name: .E_TASTER_SYSTEM_AUS | Group: 61473 | Offset: 1
Name: .E_TASTER_SYSTEM_BREMSE_LOESEN | Group: 61473 | Offset: 2
Name: .E_TASTER_SYSTEM_EIN | Group: 61473 | Offset: 0
Name: .E_TASTER_SYSTEM_MANUELLE_LADEN | Group: 61473 | Offset: 3
Name: .FORMAT_DECASC_CODES | Group: 16448 | Offset: 230232
Name: .FORMAT_DEFAULT_PRECISION | Group: 16448 | Offset: 230242
Name: .FORMAT_HASH_PREFIX_STRING | Group: 16448 | Offset: 230542
Name: .FORMAT_HEXASC_CODES | Group: 16448 | Offset: 230200
Name: .FORMAT_PREFIX_SUPPORT_MASK | Group: 16448 | Offset: 230494
Name: .FORMAT_TYPE_SUPPORT_MASK | Group: 16448 | Offset: 230266
Name: .FTS_KILOMETERSTAND | Group: 16432 | Offset: 52
Name: .GLOBAL_CRC_CCITT_TABLE | Group: 16448 | Offset: 231924
Name: .GLOBAL_DBGOUTPUTCTRL | Group: 16448 | Offset: 232436
Name: .GLOBAL_DBGOUTPUTVISU | Group: 16448 | Offset: 222360
Name: .GLOBAL_DCF77_PULSE_SPLIT | Group: 16448 | Offset: 222352
Name: .GLOBAL_DCF77_SEQUENCE_CHECK | Group: 16448 | Offset: 209107
Name: .GLOBAL_FORMAT_HASH_PREFIX_TYPE | Group: 16448 | Offset: 222346
Name: .GLOBAL_SBCS_TABLE | Group: 16448 | Offset: 222348
Name: .GP_AXIS_DIGITAL_EINGAENGE | Group: 61472 | Offset: 9000
Name: .GP_AXIS_REF | Group: 16448 | Offset: 215648
Name: .GSV_CONVEYOR | Group: 16448 | Offset: 121996
Name: .GSV_SERVOS | Group: 16448 | Offset: 211616
Name: .GSV_TASTER | Group: 16448 | Offset: 221024
Name: .GSV_TIME_DATE | Group: 16448 | Offset: 221036
Name: .G_CALLGENERIC_STATE | Group: 16448 | Offset: 122350
Name: .G_FWVERSION | Group: 16448 | Offset: 222336
Name: .G_FWVERSION_INIT | Group: 16448 | Offset: 122351
Name: .HISTOGRAM_VALUE1 | Group: 16448 | Offset: 221132
Name: .HISTOGRAM_VALUE2 | Group: 16448 | Offset: 221734
Name: .IARRDRIVESUPDATEPORTS | Group: 16448 | Offset: 246976
Name: .IBLOCKECATSCANCOUNT | Group: 16448 | Offset: 246972
Name: .IMQN_TABLE | Group: 16448 | Offset: 231668
Name: .INDEX7001 | Group: 16448 | Offset: 121052
Name: .INDEX7002 | Group: 16448 | Offset: 121056
Name: .INDEX7003 | Group: 16448 | Offset: 121060
Name: .INDEX7004 | Group: 16448 | Offset: 121064
Name: .INDEX7005 | Group: 16448 | Offset: 121068
Name: .INDEX7006 | Group: 16448 | Offset: 121072
Name: .INDEX7007 | Group: 16448 | Offset: 121076
Name: .INDEX7008 | Group: 16448 | Offset: 121080
Name: .INDEX7009 | Group: 16448 | Offset: 121084
Name: .I_BEREICH_1_FREIGABE_ANTRIEBE | Group: 61473 | Offset: 56002
Name: .I_BEREICH_1_HW_SICHER | Group: 61473 | Offset: 56001
Name: .I_COM_ERR | Group: 61473 | Offset: 56006
Name: .I_FB_ERR | Group: 61473 | Offset: 56005
Name: .I_GROUP1_STATE | Group: 61472 | Offset: 7001
Name: .I_KEIN_NOTAUS | Group: 61473 | Offset: 56000
Name: .I_MDP_EL7342 | Group: 61472 | Offset: 1500
Name: .I_MDP_SERVO | Group: 61472 | Offset: 1100
Name: .I_OUT_ERR | Group: 61473 | Offset: 56007
Name: .I_SERVO_ACTUAL_TORQUE | Group: 61472 | Offset: 2100
Name: .I_SERVO_DC_VOLTAGE | Group: 61472 | Offset: 2000
Name: .KAMERA | Group: 16448 | Offset: 121088
Name: .LADERELAISLOG | Group: 16448 | Offset: 122352
Name: .LOGFILE_DATA | Group: 16448 | Offset: 125584
Name: .LOGFILE_DELIMITER | Group: 16448 | Offset: 209008
Name: .LOGFILE_PARAM | Group: 16448 | Offset: 209108
Name: .LOGFILE_PARAM_GLOBAL | Group: 16448 | Offset: 209089
Name: .LOGFILE_STATUS | Group: 16448 | Offset: 208552
Name: .LOWER_CHECKBOUNDS | Group: 16448 | Offset: 121972
Name: .MAX_AVERAGE_MEASURES | Group: 16448 | Offset: 222344
Name: .MAX_DBGOUTPUT_HEXLEN | Group: 16448 | Offset: 222356
Name: .NOVRAM | Group: 16448 | Offset: 209836
Name: .O_MDP_EL7342 | Group: 61488 | Offset: 1500
Name: .O_MDP_SERVO | Group: 61488 | Offset: 1100
Name: .O_NOTAUS_BETAETIGEN | Group: 61489 | Offset: 56002
Name: .O_QUITTIERUNG_NOTAUS | Group: 61489 | Offset: 56000
Name: .O_QUITTIERUNG_POWERON | Group: 61489 | Offset: 56001
Name: .PARKMODUS | Group: 16448 | Offset: 122349
Name: .RS232_CONFIG | Group: 16448 | Offset: 211248
Name: .RTGRAPHIC_INIT_VAR | Group: 16448 | Offset: 121051
Name: .RXBUFFER_COM1 | Group: 16448 | Offset: 209992
Name: .RXBUFFER_COM2 | Group: 16448 | Offset: 210620
Name: .SA_EDM_SIGNAL | Group: 61489 | Offset: 64
Name: .SA_RESERVER_8_3 | Group: 61489 | Offset: 67
Name: .SA_SCHUTZFELDUMSCHALTUNG_A1 | Group: 61489 | Offset: 48
Name: .SA_SCHUTZFELDUMSCHALTUNG_A2 | Group: 61489 | Offset: 49
Name: .SA_SCHUTZFELDUMSCHALTUNG_B1 | Group: 61489 | Offset: 50
Name: .SA_SCHUTZFELDUMSCHALTUNG_B2 | Group: 61489 | Offset: 51
Name: .SA_SERVO_BREMSEN_LOESEN | Group: 61489 | Offset: 66
Name: .SA_SERVO_VERSORGUNG_AN | Group: 61489 | Offset: 65
Name: .SBCS_TABLES | Group: 16448 | Offset: 231156
Name: .SERVONULLPUNKTOFFSET | Group: 16432 | Offset: 4
Name: .SE_NOT_HALT_KANAL_1 | Group: 61473 | Offset: 32
Name: .SE_NOT_HALT_KANAL_2 | Group: 61473 | Offset: 33
Name: .SE_OSSD_KANAL_1 | Group: 61473 | Offset: 34
Name: .SE_OSSD_KANAL_2 | Group: 61473 | Offset: 35
Name: .SYSTEMINFO | Group: 16416 | Offset: 32768
Name: .SYSTEMTASKINFOARR | Group: 16416 | Offset: 32832
Name: .SYSTEMTIME_DATE_AND_TIME_MAX | Group: 16448 | Offset: 231040
Name: .SYSTEMTIME_DATE_AND_TIME_MIN | Group: 16448 | Offset: 231032
Name: .SYSTEMTIME_MAX_MONTHDAYS | Group: 16448 | Offset: 230902
Name: .SYSTEMTIME_MAX_YEARSDAY | Group: 16448 | Offset: 230950
Name: .SYSTEMTIME_TICKSPERDAY | Group: 16448 | Offset: 231024
Name: .SYSTEMTIME_TICKSPERMSEC | Group: 16448 | Offset: 231008
Name: .SYSTEMTIME_TICKSPERSEC | Group: 16448 | Offset: 231016
Name: .TCMCGLOBAL | Group: 16448 | Offset: 247488
